,Training iterations:,%Training dataset,Shuffle number, Train error(px), Test error(px),p-cutoff used,Train error with p-cutoff,Test error with p-cutoff
0,3000,95,3,80.48,94.0,0.6,9.3,9.54
1,6000,95,3,33.0,125.94,0.6,13.77,18.57
2,9000,95,3,7.51,50.8,0.6,7.57,14.79
3,12000,95,3,7.83,59.12,0.6,7.85,15.06
4,15000,95,3,7.87,51.76,0.6,7.87,10.85
5,18000,95,3,7.24,67.04,0.6,7.25,10.71
6,21000,95,3,7.78,62.53,0.6,7.77,11.98
7,24000,95,3,7.76,60.85,0.6,7.75,12.03
8,27000,95,3,7.37,68.13,0.6,7.37,11.19
9,30000,95,3,7.47,60.67,0.6,7.47,11.82
10,33000,95,3,7.57,64.45,0.6,7.57,11.41
11,36000,95,3,7.56,61.95,0.6,7.56,11.92
12,39000,95,3,7.54,62.03,0.6,7.54,11.99
13,42000,95,3,7.58,64.79,0.6,7.58,11.99
14,45000,95,3,7.69,61.2,0.6,7.69,12.13
15,48000,95,3,7.58,61.1,0.6,7.58,12.03
16,51000,95,3,7.62,64.87,0.6,7.62,12.09
